step,nodes,angles,length
step 275 (to tan),tan 12 in = hem 6 out,left 3 head 50 tail 121,cut 32 1/8 inches
step 517 (to gun),gun 9 in = and 4 out,right 6 head 53 tail 114,cut 32 1/8 inches
step 646 IN! (to too),too.2 out = apt.1 out,right 2 head 78 tail 77,cut 32 1/4 inches
step 238 (to pet),pet 11 in = mac 6 out,left 5 head 51 tail 117,cut 32 1/4 inches
step 553 (to pen),pen 9 in = aim 5 out,right 12 head 53 tail 116,cut 32 1/4 inches
step 271 (to tan),tan 8 in = arm 4 out,right 1 head 54 tail 117,cut 32 3/8 inches
step 398 (to log),log 6 in = did 5 out,left 6 head 55 tail 103,cut 32 3/8 inches
step 466 IN! (to mob),mob.3 out = hoe.3 out,left 1 head 75 tail 76,cut 32 3/8 inches
step 86 IN! (to try),try.1 out = duh.2 out,right 2 head 79 tail 80,cut 32 3/8 inches
step 628 (to pin),pin 7 in = din 6 out,right 8 head 53 tail 123,cut 32 3/8 inches
step 487 IN! (to pub),pub.1 out = may.2 out,right 0 head 79 tail 81,cut 32 5/8 inches
step 586 (to cup),cup 7 in = his 5 out,right 8 head 54 tail 114,cut 32 3/4 inches
step 372 (to lip),lip 11 in = dew 6 out,left 6 head 52 tail 117,cut 32 3/4 inches
step 554 (to pen),pen 10 in = hey 7 out,right 6 head 54 tail 118,cut 32 3/4 inches
step 473 (to lot),lot 10 in = too 4 out,right 2 head 54 tail 103,cut 32 7/8 inches
step 103 (to tad),tad 10 in = ham 7 out,left 1 head 51 tail 124,cut 32 7/8 inches
step 411 (to guy),guy 10 in = dip 4 out,right 4 head 53 tail 121,cut 32 7/8 inches
step 379 (to pie),pie 6 in = rad 4 out,right 2 head 56 tail 116,cut 32 7/8 inches
step 601 (to git),git 11 in = pot 5 out,right 0 head 53 tail 106,cut 32 7/8 inches
step 507 (to loo),loo 9 in = men 6 out,left 11 head 54 tail 82,cut 32 7/8 inches
step 486 (to gut),gut 11 in = pub 6 out,right 4 head 52 tail 110,cut  33  inches
step 665 (to pic),pic 6 in = pot 3 out,right 6 head 56 tail 116,cut  33  inches
step 61 (to aid),aid 9 in = mat 4 out,left 4 head 54 tail 116,cut  33  inches
step 574 (to gym),gym 7 in = rap 4 out,right 6 head 56 tail 104,cut 33 1/8 inches
step 323 IN! (to rag),rag.1 out = arm.2 out,right 3 head 76 tail 78,cut 33 1/8 inches
step 63 (to aid),aid 11 in = ram 6 out,left 3 head 52 tail 112,cut 33 1/8 inches
step 401 (to log),log 9 in = rat 5 out,right 11 head 54 tail 103,cut 33 1/4 inches
step 477 IN! (to hem),hem.3 out = and.1 out,left 1 head 71 tail 69,cut 33 1/4 inches
step 139 (to lob),lob 10 in = tie 5 out,right 7 head 54 tail 111,cut 33 1/4 inches
step 589 (to cup),cup 10 in = dog 4 out,left 2 head 54 tail 114,cut 33 1/4 inches
step 460 (to tar),tar 8 in = quo 5 out,left 18 head 54 tail 126,cut 33 1/4 inches
step 587 (to cup),cup 8 in = tin 4 out,right 0 head 55 tail 111,cut 33 3/8 inches
step 651 IN! (to apt),apt.2 out = ask.1 out,right 0 head 90 tail 90,cut 33 3/8 inches
step 676 (to gum),gum 5 in = mit 4 out,right 11 head 57 tail 113,cut 33 3/8 inches
step 672 (to lop),lop 8 in = tin 6 out,right 0 head 54 tail 117,cut 33 3/8 inches
step 648 (to add),add 5 in = apt 4 out,right 1 head 57 tail 119,cut 33 1/2 inches
step 381 (to pie),pie 8 in = mag 5 out,left 3 head 55 tail 117,cut 33 1/2 inches
step 325 IN! (to arm),arm.1 out = hem.2 out,left 1 head 90 tail 90,cut 33 1/2 inches
step 578 (to gym),gym 11 in = mit 5 out,left 6 head 54 tail 106,cut 33 1/2 inches
step 317 (to cut),cut 7 in = hem 4 out,right 9 head 56 tail 111,cut 33 1/2 inches
step 605 IN! (to max),max.3 out = tic.3 out,left 1 head 69 tail 70,cut 33 1/2 inches
step 73 (to ado),ado 10 in = pug 5 out,left 6 head 54 tail 106,cut 33 1/2 inches
step 652 IN! (to ask),ask.2 out = ale.1 out,right 4 head 78 tail 77,cut 33 5/8 inches
step 201 (to gin),gin 7 in = due 5 out,left 4 head 56 tail 110,cut 33 5/8 inches
step 623 IN! (to maw),maw.3 out = her.2 out,right 1 head 69 tail 68,cut 33 3/4 inches
step 677 (to gum),gum 6 in = map 3 out,left 4 head 57 tail 113,cut 33 3/4 inches
step 287 (to cub),cub 11 in = tip 6 out,right 5 head 53 tail 118,cut 33 3/4 inches
step 409 (to guy),guy 8 in = ape 5 out,left 7 head 55 tail 118,cut 33 3/4 inches
step 262 (to cow),cow 11 in = mob 6 out,left 8 head 53 tail 115,cut 33 3/4 inches
step 497 (to abs),abs 11 in = man 4 out,left 12 head 55 tail 79,cut 33 3/4 inches
step 602 (to git),git 12 in = dip 6 out,left 4 head 53 tail 107,cut 33 3/4 inches
step 10 (to cot),cot 9 in = dim 4 out,right 4 head 55 tail 113,cut 33 3/4 inches
step 394 IN! (to hit),hit.2 out = tom.1 out,right 2 head 75 tail 75,cut 33 7/8 inches
step 668 IN! (to tic),tic.2 out = pot.1 out,right 1 head 80 tail 78,cut 33 7/8 inches
step 410 (to guy),guy 9 in = tom 4 out,right 2 head 55 tail 120,cut 33 7/8 inches
step 162 (to poi),poi 11 in = toy 6 out,right 1 head 53 tail 116,cut 33 7/8 inches
step 520 (to gun),gun 12 in = dig 4 out,left 7 head 54 tail 114,cut 33 7/8 inches
step 261 (to cow),cow 10 in = hid 4 out,right 16 head 55 tail 118,cut 33 7/8 inches
step 459 (to tar),tar 7 in = hoe 5 out,left 2 head 56 tail 127,cut 33 7/8 inches
step 597 (to git),git 7 in = tic 5 out,left 9 head 56 tail 110,cut 33 7/8 inches
step 408 (to guy),guy 7 in = hew 4 out,left 6 head 56 tail 117,cut  34  inches
step 160 (to poi),poi 9 in = arm 5 out,right 4 head 55 tail 111,cut 34 1/8 inches
step 664 (to pic),pic 5 in = ale 4 out,left 7 head 58 tail 114,cut 34 1/4 inches
step 16 (to low),low 7 in = ass 4 out,right 8 head 57 tail 109,cut 34 1/4 inches
step 59 (to aid),aid 7 in = try 5 out,right 10 head 56 tail 112,cut 34 1/4 inches
step 619 (to get),get 7 in = her 4 out,left 14 head 57 tail 99,cut 34 1/2 inches
step 681 (to lid),lid 5 in = aim 4 out,left 2 head 58 tail 121,cut 34 5/8 inches
step 620 (to get),get 8 in = hip 6 out,left 3 head 56 tail 107,cut 34 3/4 inches
step 75 (to ado),ado 12 in = dub 6 out,right 1 head 54 tail 106,cut 34 3/4 inches
step 306 (to lye),lye 8 in = dot 4 out,left 6 head 57 tail 103,cut 34 3/4 inches
step 575 (to gym),gym 8 in = his 4 out,left 3 head 57 tail 109,cut 34 3/4 inches
step 515 (to gun),gun 7 in = too 5 out,left 1 head 57 tail 115,cut 34 3/4 inches
step 644 (to pod),pod 7 in = too 6 out,right 1 head 56 tail 119,cut 34 7/8 inches
step 360 (to gnu),gnu 8 in = pub 4 out,left 4 head 57 tail 113,cut 34 7/8 inches
step 621 (to get),get 9 in = maw 4 out,right 3 head 57 tail 106,cut 35 1/4 inches
step 447 (to dad),dad 7 in = men 5 out,right 12 head 58 tail 96,cut 35 1/4 inches
step 149 (to dab),dab 10 in = tow 4 out,left 2 head 57 tail 105,cut 35 3/8 inches
step 353 IN! (to hat),hat.2 out = man.3 out,right 0 head 75 tail 76,cut 35 3/8 inches
step 308 (to lye),lye 10 in = men 4 out,right 0 head 57 tail 107,cut 35 3/8 inches
step 253 IN! (to hog),hog.2 out = pro.3 out,right 1 head 74 tail 76,cut 35 3/8 inches
step 179 (to tap),tap 8 in = til 4 out,right 8 head 58 tail 109,cut 35 5/8 inches
step 682 (to lid),lid 6 in = mit 3 out,left 5 head 59 tail 120,cut 35 3/4 inches
step 629 IN! (to din),din.1 out = amp.2 out,right 1 head 74 tail 75,cut  36  inches
step 260 (to cow),cow 9 in = dug 5 out,left 3 head 57 tail 117,cut 36 1/4 inches
step 670 (to lop),lop 6 in = map 4 out,right 8 head 60 tail 108,cut 36 7/8 inches
step 500 IN! (to did),did.2 out = hip.3 out,left 1 head 65 tail 65,cut 37 3/8 inches
step 537 (to pit),pit 8 in = two 5 out,right 12 head 59 tail 123,cut 37 1/2 inches
step 527 (to age),age 6 in = any 6 out,right 3 head 68 tail 116,cut 40 1/8 inches
step 534 (to pit),pit 3 in = lop 4 in,left 5 head 80 tail 99,cut 63 1/8 inches
step 134 (to lob),lob 3 in = gnu 4 in,right 3 head 80 tail 70,cut 67 7/8 inches
step 185 IN! (to ram),ram.2 out = mod.1 out,right 0 head 90 tail 90,T1.1 (28 1/4) 28.1
step 251 (to pig),pig 11 in = dot 6 out,right 3 head 53 tail 111,T1.2 (61 7/8) 33.5
step 300 IN! (to pro),pro.2 out = all.1 out,right 0 head 90 tail 90,T1.3 (90 5/8) 28.5
step 151 (to dab),dab 12 in = due 6 out,left 3 head 55 tail 110,T1.4 ( 126 ) 35.3
step 38 (to tea),tea 7 in = toy 5 out,left 4 head 51 tail 116,T2.1 (30 3/8) 30.3
step 235 (to pet),pet 8 in = dug 4 out,right 3 head 55 tail 116,T2.2 (64 1/8) 33.6
step 11 (to cot),cot 10 in = mat 6 out,right 1 head 49 tail 115,T2.3 (94 7/8) 30.6
step 60 (to aid),aid 8 in = hen 7 out,right 3 head 51 tail 113,T2.4 ( 126 ) 31
step 265 IN! (to the),the.2 out = are.1 out,right 0 head 90 tail 90,T3.1 (30 7/8) 30.7
step 94 (to gig),gig 9 in = den 8 out,right 2 head 52 tail 116,T3.2 (63 1/4) 32.3
step 37 (to tea),tea 6 in = tug 4 out,right 9 head 53 tail 113,T3.3 (94 3/8) 31
step 205 (to gin),gin 11 in = top 8 out,right 3 head 47 tail 106,T3.4 ( 126 ) 31.5
step 228 (to cry),cry 10 in = mag 6 out,left 7 head 47 tail 125,T4.1 (29 5/8) 29.6
step 9 (to cot),cot 8 in = had 6 out,right 6 head 49 tail 116,T4.2 (59 5/8) 29.8
step 193 (to pew),pew 9 in = ham 8 out,left 9 head 49 tail 115,T4.3 (91 3/8) 31.6
step 258 (to cow),cow 7 in = air 4 out,right 5 head 57 tail 117,T4.4 ( 126 ) 34.5
step 132 (to lob),lob 1 in = cry 5 in,left 3 head 80 tail 67,T5.1 (47 3/4) 47.6
step 195 (to pew),pew 11 in = mad 6 out,right 1 head 50 tail 113,T5.2 (79 5/8) 31.6
step 156 (to poi),poi 4 in = ace 3 in,right 0 head 70 tail 76,T5.3 ( 126 ) 46.3
step 99 (to tad),tad 5 in = gin 6 in,right 6 head 62 tail 83,T6.1 (45 7/8) 45.8
step 70 (to ado),ado 7 in = tie 6 out,left 3 head 54 tail 109,T6.2 (78 1/2) 32.5
step 79 (to act),act 2 in = tap 3 in,left 5 head 76 tail 81,T6.3 ( 126 ) 47.4
step 62 (to aid),aid 10 in = mod 5 out,left 7 head 53 tail 116,T7.1 (32 7/8) 32.8
step 249 (to pig),pig 9 in = hog 5 out,left 1 head 55 tail 110,T7.2 (67 1/2) 34.4
step 65 IN! (to mat),mat.3 out = try.3 out,right 2 head 74 tail 75,T7.3 (96 5/8) 29
step 131 IN! (to had),had.3 out = the.3 out,right 1 head 78 tail 77,T7.4 ( 126 ) 29.2
step 276 IN! (to pow),pow.1 out = mag.2 out,right 0 head 90 tail 90,T8.1 ( 30 ) 29.9
step 113 (to tab),tab 9 in = tug 6 out,right 2 head 53 tail 120,T8.2 (63 1/4) 33.1
step 278 IN! (to dub),dub.3 out = arm.3 out,left 1 head 90 tail 90,T8.3 (93 3/4) 30.3
step 142 IN! (to asp),asp.2 out = him.3 out,right 0 head 90 tail 90,T8.4 ( 126 ) 32.2
step 29 (to aby),aby 10 in = den 7 out,right 7 head 52 tail 115,T9.1 (32 5/8) 32.5
step 101 (to tad),tad 8 in = duh 5 out,left 4 head 56 tail 124,T9.2 (67 1/8) 34.3
step 77 IN! (to pug),pug.3 out = asp.3 out,right 0 head 90 tail 90,T9.3 (96 1/4) 29
step 83 (to act),act 8 in = mid 6 out,left 2 head 49 tail 126,T9.4 ( 126 ) 29.6
step 240 IN! (to mac),mac.1 out = pop.2 out,right 1 head 90 tail 90,T10.1 (28 3/4) 28.7
step 163 IN! (to toy),toy.1 out = dub.2 out,right 1 head 77 tail 76,T10.2 (60 7/8) 31.9
step 186 IN! (to ram),ram.3 out = mid.2 out,right 1 head 80 tail 80,T10.3 (91 1/8) 30
step 213 (to ace),ace 7 in = rag 4 out,right 0 head 57 tail 106,T10.4 ( 126 ) 34.8
step 31 IN! (to dim),dim.2 out = mat.1 out,left 2 head 80 tail 79,T11.1 (29 5/8) 29.5
step 161 (to poi),poi 10 in = rag 6 out,right 1 head 51 tail 117,T11.2 (61 3/8) 31.6
step 187 IN! (to mod),mod.2 out = til.1 out,right 0 head 90 tail 90,T11.3 (91 3/8) 29.8
step 214 (to ace),ace 8 in = pun 5 out,right 7 head 56 tail 107,T11.4 ( 126 ) 34.5
step 81 (to act),act 6 in = ram 5 out,right 3 head 52 tail 121,T12.1 (30 7/8) 30.8
step 26 (to aby),aby 7 in = ant 8 out,right 7 head 51 tail 114,T12.2 (63 1/8) 32
step 27 (to aby),aby 8 in = dim 5 out,left 6 head 51 tail 120,T12.3 (94 1/8) 30.8
step 111 (to tab),tab 7 in = mic 6 out,right 2 head 53 tail 121,T12.4 ( 126 ) 31.8
step 212 (to ace),ace 5 in = pix 4 in,left 2 head 73 tail 71,T13.1 (43 5/8) 43.5
step 194 (to pew),pew 10 in = mid 4 out,right 11 head 55 tail 118,T13.2 (77 1/2) 33.7
step 211 (to ace),ace 4 in = guy 5 in,right 6 head 80 tail 67,T13.3 ( 126 ) 48.4
step 224 (to cry),cry 6 in = pow 4 out,right 7 head 51 tail 121,T14.1 (29 3/4) 29.6
step 169 (to cue),cue 7 in = pro 5 out,right 0 head 51 tail 117,T14.2 (60 1/4) 30.4
step 96 (to gig),gig 11 in = air 6 out,left 2 head 50 tail 117,T14.3 (92 1/8) 31.6
step 293 (to goo),goo 7 in = hat 5 out,right 1 head 56 tail 108,T14.4 ( 126 ) 33.8
step 130 IN! (to had),had.2 out = hen.1 out,left 6 head 77 tail 71,T15.1 (40 3/4) 40.6
