RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  1380    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.240E-01  8.437E+06
    1   13     1     0  ---   11  1.1E+05  3.0E+05  6.251E-01  7.370E+06
    2   14     0     0  con    0  1.0E+00  1.1E+05  6.039E-01  7.310E+06
    3   16     0     0  con    1  2.3E-01  6.3E+04  1.613E+00  6.884E+06
    4   18     0     0  con    1  2.3E-01  2.3E+04  1.254E+00  6.756E+06
    5   20     0     0  con    1  2.0E-01  2.4E+04  2.768E+00  6.563E+06
    6   22     0     0  con    1  2.1E-01  1.4E+04  3.048E+00  6.371E+06
    7   24     0     0  con    1  2.8E-01  1.2E+04  8.359E+00  6.255E+06
    8   25     0     0  con    0  1.0E+00  2.8E+04  3.716E+00  6.066E+06
    9   26     0     0  con    0  1.0E+00  1.4E+04  4.977E+00  5.789E+06
   10   28     0     0  con    1  2.7E-01  5.2E+03  6.070E+00  5.629E+06
   11   30     0     0  con    1  2.7E-01  4.6E+03  9.960E+00  5.413E+06
   12   32     0     0  con    1  1.6E-01  3.7E+03  9.623E+00  5.354E+06
   13   34     0     0  con    1  3.1E-01  2.7E+03  1.191E+01  5.201E+06
   14   36     0     0  con    1  2.1E-01  2.8E+03  2.870E+01  4.993E+06
   15   38     0     0  con    1  2.8E-01  1.3E+03  3.002E+01  4.807E+06
   16   40     0     0  con    1  1.7E-01  2.2E+03  2.675E+01  4.760E+06
   17   43     0     0  con    2  7.5E-02  9.1E+02  3.187E+01  4.710E+06
   18   44     0     0  con    0  1.0E+00  2.0E+03  5.231E+01  4.604E+06
   19   46     0     0  con    1  1.7E-01  8.3E+02  8.181E+01  4.530E+06
   20   48     0     0  con    1  2.7E-01  6.6E+02  7.558E+01  4.366E+06
   21   51     0     0  con    2  4.0E-02  6.7E+02  8.510E+01  4.269E+06
   22   53     0     0  con    1  1.9E-01  3.6E+02  7.652E+01  4.172E+06
   23   55     0     0  con    1  2.6E-01  3.3E+02  1.761E+02  4.034E+06
   24   57     0     0  con    1  1.9E-01  3.3E+02  1.024E+02  3.958E+06
   25   59     0     0  con    1  2.1E-01  2.1E+02  1.252E+02  3.876E+06
   26   61     0     0  con    1  2.5E-01  2.0E+02  2.085E+02  3.756E+06
   27   63     0     0  con    1  1.8E-01  2.8E+02  1.949E+02  3.716E+06
   28   65     0     0  con    1  4.8E-01  2.5E+02  3.024E+02  3.559E+06
   29   67     0     0  con    1  2.1E-01  1.2E+02  4.821E+02  3.448E+06
   30   69     0     0  con    1  1.6E-01  1.5E+02  3.719E+02  3.417E+06
   31   71     0     0  con    1  2.3E-01  7.8E+01  4.908E+02  3.336E+06
   32   73     0     0  con    1  2.5E-01  1.2E+02  4.882E+02  3.233E+06
   33   75     0     0  con    1  1.8E-01  4.4E+01  6.808E+02  3.189E+06
   34   77     0     0  con    1  3.1E-01  5.0E+01  6.475E+02  3.163E+06
   35   78     0     0  con    0  1.0E+00  6.4E+01  6.076E+02  3.155E+06
   36   79     0     0  con    0  1.0E+00  6.1E+01  2.199E+03  3.124E+06
   37   81     0     0  con    1  3.8E-01  2.7E+01  1.670E+03  3.111E+06
   38   83     0     0  con    1  2.4E-01  7.6E+00  3.906E+02  3.108E+06
   39   84     0     0  con    0  1.0E+00  1.9E+01  4.905E+02  3.098E+06
   40   85     0     0  con    0  1.0E+00  2.1E+01  3.811E+02  3.094E+06
   41   86     0     0  con    0  1.0E+00  1.3E+01  7.380E+02  3.081E+06
   42   87     0     0  con    0  1.0E+00  1.5E+01  5.602E+02  3.072E+06
   43   88     0     0  con    0  1.0E+00  1.9E+01  7.666E+02  3.066E+06
   44   89     0     0  con    0  1.0E+00  1.6E+01  6.682E+02  3.056E+06
   45   90     0     0  con    0  1.0E+00  1.2E+01  5.421E+02  3.050E+06
   46   91     0     0  con    0  1.0E+00  1.1E+01  2.763E+03  3.040E+06
   47   92     0     0  con    0  1.0E+00  1.5E+01  4.292E+02  3.039E+06
   48   93     0     0  con    0  1.0E+00  8.7E+00  5.508E+02  3.031E+06
   49   94     0     0  con    0  1.0E+00  9.2E+00  6.017E+02  3.022E+06
   50   95     0     0  con    0  1.0E+00  7.6E+00  6.244E+02  3.015E+06
   51   96     0     0  con    0  1.0E+00  1.3E+01  3.658E+02  3.009E+06
   52   97     0     0  con    0  1.0E+00  6.0E+00  1.123E+03  3.002E+06
   53   98     0     0  con    0  1.0E+00  8.1E+00  3.418E+02  2.995E+06
   54   99     0     0  con    0  1.0E+00  7.9E+00  9.500E+02  2.991E+06
   55  100     0     0  con    0  1.0E+00  7.5E+00  5.816E+02  2.988E+06
   56  101     0     0  con    0  1.0E+00  4.6E+00  1.773E+03  2.983E+06
   57  102     0     0  con    0  1.0E+00  6.1E+00  1.235E+03  2.981E+06
   58  103     0     0  con    0  1.0E+00  3.3E+00  1.030E+03  2.979E+06
   59  104     0     0  con    0  1.0E+00  3.6E+00  4.423E+02  2.976E+06
   60  105     0     0  con    0  1.0E+00  5.5E+00  4.976E+02  2.972E+06
   61  106     0     0  con    0  1.0E+00  6.0E+00  4.087E+02  2.969E+06
   62  107     0     0  con    0  1.0E+00  6.0E+00  4.759E+02  2.965E+06
   63  108     0     0  con    0  1.0E+00  7.5E+00  4.706E+02  2.961E+06
   64  109     0     0  con    0  1.0E+00  7.3E+00  5.237E+02  2.956E+06
   65  110     0     0  con    0  1.0E+00  7.4E+00  4.616E+02  2.951E+06
   66  111     0     0  con    0  1.0E+00  5.2E+00  3.439E+02  2.948E+06
   67  112     0     0  con    0  1.0E+00  4.3E+00  1.012E+03  2.944E+06
   68  113     0     0  con    0  1.0E+00  6.8E+00  6.624E+02  2.942E+06
   69  114     0     0  con    0  1.0E+00  3.2E+00  4.164E+02  2.940E+06
   70  115     0     0  con    0  1.0E+00  3.6E+00  3.283E+02  2.937E+06
   71  116     0     0  con    0  1.0E+00  2.9E+00  5.364E+02  2.936E+06
   72  117     0     0  con    0  1.0E+00  4.0E+00  3.192E+02  2.934E+06
   73  118     0     0  con    0  1.0E+00  4.2E+00  4.369E+02  2.932E+06
   74  119     0     0  con    0  1.0E+00  3.2E+00  4.453E+02  2.931E+06
   75  120     0     0  con    0  1.0E+00  3.6E+00  3.489E+02  2.929E+06
   76  121     0     0  con    0  1.0E+00  3.9E+00  4.549E+02  2.927E+06
   77  122     0     0  con    0  1.0E+00  4.8E+00  1.481E+03  2.925E+06
   78  123     0     0  con    0  1.0E+00  5.1E+00  3.992E+02  2.924E+06
   79  124     0     0  con    0  1.0E+00  1.7E+00  3.295E+02  2.922E+06
   80  125     0     0  con    0  1.0E+00  3.2E+00  7.527E+02  2.921E+06
   81  126     0     0  con    0  1.0E+00  6.7E+00  4.760E+02  2.919E+06
   82  127     0     0  con    0  1.0E+00  5.2E+00  4.714E+02  2.917E+06
   83  128     0     0  con    0  1.0E+00  3.7E+00  2.925E+02  2.915E+06
   84  129     0     0  con    0  1.0E+00  4.5E+00  6.632E+03  2.912E+06
   85  130     0     0  con    0  1.0E+00  6.0E+00  6.536E+02  2.912E+06
   86  131     0     0  con    0  1.0E+00  1.3E+00  8.070E+02  2.911E+06
   87  133     0     0  con    1  4.4E-01  2.1E+00  4.120E+02  2.910E+06
   88  134     0     0  con    0  1.0E+00  1.8E+00  4.109E+02  2.909E+06
   89  135     0     0  con    0  1.0E+00  9.9E+00  3.786E+02  2.906E+06
   90  136     0     0  con    0  1.0E+00  9.4E+00  8.019E+02  2.902E+06
   91  137     0     0  con    0  1.0E+00  4.5E+00  2.307E+03  2.900E+06
   92  138     0     0  con    0  1.0E+00  3.9E+00  4.344E+02  2.899E+06
   93  139     0     0  con    0  1.0E+00  1.8E+00  6.263E+02  2.897E+06
   94  140     0     0  con    0  1.0E+00  3.0E+00  4.301E+02  2.896E+06
   95  141     0     0  con    0  1.0E+00  5.4E+00  7.985E+02  2.893E+06
   96  142     0     0  con    0  1.0E+00  8.4E+00  1.152E+03  2.893E+06
   97  143     0     0  con    0  1.0E+00  4.0E+00  5.083E+02  2.891E+06
