bar number	length (inches)
166	45.9375
175	53
121	47.1875
188	48.5625
116	35.1875
50	33.875
128	32.5
39	36.625
102	31.1875
75	32.4375
86	30.0625
100	31.125
48	33.3125
12	51.3125
88	47.5
87	28.8125
33	40
84	38.5
148	42.8125
81	28.75
38	28
153	30
77	26.5625
97	46.875
63	30.6875
74	31.5625
105	26.875
61	30.5625
40	27.6875
71	29.375
104	30.875
54	38.375
150	32.75
240	26.375
101	32
94	30
11	28.1875
1	44
180	34.625
6	37.5625
76	33.375
118	36.25
30	38
5	38.4375
62	30.5118275
64	40.157502
172	29.8031657
52	37.007894
22	40.7480535
53	39.8425412
103	30.5118275
10	31.2992295
57	50.8267991
67	44.7244336
107	32.2441119
96	29.4094647
113	30.7480481
45	51.8504217
108	49.0945147
78	46.7716788
142	69.2126358
125	34.8425385
205	29.3307245
8	37.1653744
204	41.0630143
47	34.4488375
163	29.7637956
36	44.094512
137	34.4882076
41	38.8582887
140	31.5354501
49	34.645688
4	46.456718
46	33.3071046
135	31.49608
9	27.55907
130	38.582698
58	48.5433333
89	53.4645958
195	29.4094647
203	29.8819059
59	31.889781
115	29.4882049
92	31.2992295
146	31.8110408
51	33.7795458
42	50.5118383
138	29.7637956
3	39.8425412
82	29.9606461
91	43.30711
117	41.0630143
14	44.2913625
235	31.102379
133	46.6929386
15	40.3937226
25	42.8346688
13	51.7323114
65	26.771668
162	31.49608
95	31.102379
56	40.5118329
18	38.7401784
59	29.0157637
73	30.8661584
194	31.5354501
35	43.5039605
238	29.921276
149	32.8740335
85	27.4015896
186	27.9134009
44	46.7716788
182	31.102379
28	29.0157637
29	30.3937172
184	32.9527737
37	28.7008029
32	36.5748229
206	37.5984455
55	40.5118329
16	31.8110408
99	43.2677399
202	33.1496242
106	30.1181265
60	28.8582833
286	30.1574966
27	28.5826926
83	27.55907
127	34.2913571
252	32.2441119
93	32.5984428
248	33.1496242
173	36.8110435
43	51.18113
253	33.1102541
119	34.8425385
152	30.2756069
201	31.3385996
135	40.944904
435	34.9606488
335	38.8976588
284	29.2126142
26	29.6850554
23	52.5984536
80	37.5590754
193	29.2519843
151	32.8346634
285	38.8582887
129	32.5590727
278	28.1102514
402	29.6063152
401	30.9842687
191	30.4724574
165	42.4409678
124	33.7401757
443	34.4488375
196	40.157502
72	32.1260016
277	28.1102514
141	33.8976561
374	37.6378156
70	30.3937172
160	31.889781
442	31.6929305
171	29.3307245
208	33.1102541
287	31.2598594
336	40.2362422
169	28.0315112
143	46.6535685
264	31.3779697
265	28.5826926
220	39.2913598
215	32.4803325
156	43.8582914
207	37.9921465
120	52.9134144
110	41.9685266
375	29.133874
372	30.2756069
216	31.0236388
368	41.338605
190	41.6929359
289	37.5590754
90	43.700811
239	30.314977
260	33.7795458
440	26.6141876
326	37.2834847
145	51.4960908
263	30.2362368
414	28.2283617
394	31.5748202
242	30.5905677
428	28.8976534
236	32.0472614
431	23.5433198
198	49.0551446
144	47.0078994
324	25.1574939
199	47.7953014
280	51.2205001
323	30.8661584
217	38.8582887
365	40.944904
282	35.0000189
331	30.6299378
434	33.0315139
330	42.126007
327	42.519708
200	41.9291565
192	43.9764017
350	41.3779751
197	37.401595
354	36.0236415
183	34.4882076
174	41.4567153
168	28.9763936
185	25.6299351
293	31.2992295
245	50.9842795
176	50.9842795
338	42.913409
349	29.8425358
298	32.4803325
296	31.49608
290	44.094512
179	33.2677345
306	32.283482
300	26.377967
271	29.7244255
187	27.7559205
488	26.2992268
390	27.9134009
352	40.6693133
499	27.7165504
322	29.6063152
363	37.5984455
318	32.3622222
436	45.9842768
583	41.6535658
209	52.7165639
315	40.9842741
279	54.5669586
383	28.6220627
420	32.0866315
412	31.102379
66	44.488213
221	43.9764017
432	31.2992295
393	31.5354501
425	30.7874182
267	47.7559313
